"Date","1 oz","1/2 oz","1/4 oz"
"Selling","Buying","Selling","Buying","Selling","Buying"
"22 Apr 2020","7,872","7,558","4,010","3,779","2,042","1,890"
"23 Apr 2020","7,936","7,619","4,043","3,810","2,059","1,905"
"24 Apr 2020","8,000","7,680","4,075","3,840","2,075","1,920"
"27 Apr 2020","7,977","7,667","4,064","3,834","2,069","1,917"
"28 Apr 2020","7,911","7,595","4,030","3,798","2,052","1,899"
"29 Apr 2020","7,900","7,585","4,025","3,792","2,050","1,896"
"30 Apr 2020","7,889","7,574","4,019","3,787","2,047","1,893"
"04 May 2020","7,843","7,530","3,996","3,765","2,035","1,883"
"05 May 2020","7,792","7,479","3,970","3,739","2,022","1,870"
"06 May 2020","7,782","7,471","3,964","3,735","2,019","1,868"
"08 May 2020","7,818","7,511","3,983","3,756","2,028","1,878"
"11 May 2020","8,393","8,057","4,276","4,028","2,177","2,104"
"12 May 2020","7,834","7,521","3,991","3,760","2,032","1,880"
"13 May 2020","7,859","7,545","4,004","3,772","2,039","1,886"
"14 May 2020","7,914","7,605","4,032","3,803","2,053","1,901"
"15 May 2020","7,971","7,660","4,061","3,830","2,068","1,915"
"18 May 2020","8,132","7,807","4,143","3,904","2,110","1,952"
"19 May 2020","8,003","7,683","4,077","3,842","2,076","1,921"
"20 May 2020","8,060","7,741","4,106","3,871","2,091","1,935"
"21 May 2020","8,072","7,757","4,112","3,879","2,094","1,939"
"22 May 2020","7,987","7,668","4,069","3,834","2,072","1,917"
"27 May 2020","7,907","7,591","4,028","3,795","2,051","1,898"
"28 May 2020","7,911","7,595","4,030","3,797","2,052","1,899"
"29 May 2020","7,951","7,637","4,050","3,818","2,063","1,909"
"01 Jun 2020","8,006","7,695","4,078","3,847","2,077","1,924"
"02 Jun 2020","7,962","7,644","4,056","3,822","2,066","1,911"
"03 Jun 2020","7,804","7,492","3,976","3,746","2,025","1,873"
"04 Jun 2020","7,689","7,387","3,917","3,693","1,995","1,847"
"05 Jun 2020","7,765","7,454","3,956","3,727","2,014","1,864"
"09 Jun 2020","7,656","7,350","3,900","3,675","1,986","1,837"
"10 Jun 2020","7,773","7,475","3,960","3,737","2,017","1,869"
"11 Jun 2020","7,832","7,523","3,990","3,761","2,032","1,881"
"12 Jun 2020","7,848","7,534","3,998","3,767","2,036","1,884"
"15 Jun 2020","7,867","7,549","4,008","3,775","2,041","1,887"
"16 Jun 2020","7,812","7,499","3,980","3,750","2,027","1,875"
"17 Jun 2020","7,844","7,530","3,996","3,765","2,035","1,883"
"18 Jun 2020","7,848","7,534","3,998","3,767","2,036","1,884"
"19 Jun 2020","7,838","7,525","3,993","3,762","2,033","1,881"
"22 Jun 2020","7,952","7,634","4,051","3,817","2,063","1,909"
"23 Jun 2020","7,954","7,645","4,052","3,822","2,064","1,911"
"24 Jun 2020","8,034","7,722","4,093","3,861","2,084","1,931"
"25 Jun 2020","8,010","7,693","4,080","3,847","2,078","1,923"
"26 Jun 2020","8,009","7,698","4,080","3,849","2,078","1,924"
"29 Jun 2020","8,080","7,757","4,116","3,878","2,096","1,939"
"30 Jun 2020","8,054","7,739","4,103","3,869","2,089","1,935"
"01 Jul 2020","8,099","7,780","4,126","3,890","2,101","1,945"
"02 Jul 2020","8,038","7,726","4,095","3,863","2,085","1,931"
"03 Jul 2020","8,074","7,760","4,113","3,880","2,095","1,940"
"06 Jul 2020","8,075","7,757","4,114","3,879","2,095","1,939"
"07 Jul 2020","8,096","7,782","4,125","3,891","2,100","1,945"
"08 Jul 2020","8,144","7,827","4,149","3,914","2,113","1,957"
"09 Jul 2020","8,185","7,861","4,170","3,931","2,123","1,965"
"10 Jul 2020","8,166","7,843","4,160","3,922","2,119","1,961"
"13 Jul 2020","8,152","7,829","4,153","3,915","2,115","1,957"
"14 Jul 2020","8,151","7,834","4,152","3,917","2,115","1,959"
"15 Jul 2020","8,189","7,871","4,172","3,936","2,125","1,968"
"16 Jul 2020","8,198","7,879","4,176","3,940","2,127","1,970"
"17 Jul 2020","8,150","7,834","4,152","3,917","2,115","1,958"
"20 Jul 2020","8,184","7,864","4,169","3,932","2,123","1,966"
"21 Jul 2020","8,209","7,888","4,182","3,944","2,130","1,972"
"22 Jul 2020","8,316","7,993","4,236","3,996","2,157","1,998"
"23 Jul 2020","8,458","8,128","4,309","4,064","2,194","2,032"
"24 Jul 2020","8,512","8,180","4,336","4,090","2,208","2,045"
"27 Jul 2020","8,663","8,326","4,413","4,163","2,247","2,082"
"28 Jul 2020","8,854","8,506","4,511","4,253","2,297","2,127"
"29 Jul 2020","8,828","8,485","4,497","4,242","2,290","2,121"
"30 Jul 2020","8,845","8,501","4,506","4,250","2,295","2,125"
"03 Aug 2020","8,911","8,565","4,540","4,282","2,312","2,141"
"04 Aug 2020","8,855","8,505","4,511","4,252","2,297","2,126"
"05 Aug 2020","9,060","8,707","4,615","4,354","2,350","2,177"
"06 Aug 2020","9,056","8,699","4,613","4,350","2,349","2,175"
"07 Aug 2020","9,188","8,831","4,681","4,415","2,384","2,208"
